grafana  | logger=settings t=2026-03-15T12:18:53.509406106Z level=info msg="Starting Grafana" version=12.4.1 commit=46a02dc12a085445ab105b72fa159248f7d1dc9d branch=release-12.4.1 compiled=2026-03-15T12:18:53Z
grafana  | logger=settings t=2026-03-15T12:18:53.509692298Z level=info msg="Unified migration configs enforced"
grafana  | logger=settings t=2026-03-15T12:18:53.509708097Z level=info msg="Enforcing mode 5 for resource in unified storage" resource=playlists.playlist.grafana.app
grafana  | logger=settings t=2026-03-15T12:18:53.509731595Z level=info msg="Config loaded from" file=/usr/share/grafana/conf/defaults.ini
grafana  | logger=settings t=2026-03-15T12:18:53.509741392Z level=info msg="Config loaded from" file=/etc/grafana/grafana.ini
grafana  | logger=settings t=2026-03-15T12:18:53.509743419Z level=info msg="Config overridden from command line" arg="default.paths.data=/var/lib/grafana"
grafana  | logger=settings t=2026-03-15T12:18:53.509744797Z level=info msg="Config overridden from command line" arg="default.paths.logs=/var/log/grafana"
grafana  | logger=settings t=2026-03-15T12:18:53.509746188Z level=info msg="Config overridden from command line" arg="default.paths.plugins=/var/lib/grafana/plugins"
grafana  | logger=settings t=2026-03-15T12:18:53.509747905Z level=info msg="Config overridden from command line" arg="default.paths.provisioning=/etc/grafana/provisioning"
grafana  | logger=settings t=2026-03-15T12:18:53.50974961Z level=info msg="Config overridden from command line" arg="default.log.mode=console"
grafana  | logger=settings t=2026-03-15T12:18:53.509750971Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_DATA=/var/lib/grafana"
grafana  | logger=settings t=2026-03-15T12:18:53.509752452Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_LOGS=/var/log/grafana"
grafana  | logger=settings t=2026-03-15T12:18:53.509753838Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_PLUGINS=/var/lib/grafana/plugins"
grafana  | logger=settings t=2026-03-15T12:18:53.509755296Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_PROVISIONING=/etc/grafana/provisioning"
grafana  | logger=settings t=2026-03-15T12:18:53.509756493Z level=info msg="Config overridden from Environment variable" var="GF_SECURITY_ADMIN_USER=admin"
grafana  | logger=settings t=2026-03-15T12:18:53.509758265Z level=info msg="Config overridden from Environment variable" var="GF_SECURITY_ADMIN_PASSWORD=*********"
grafana  | logger=settings t=2026-03-15T12:18:53.509760282Z level=info msg=Target target=[all]
grafana  | logger=settings t=2026-03-15T12:18:53.509779777Z level=info msg="Path Home" path=/usr/share/grafana
grafana  | logger=settings t=2026-03-15T12:18:53.509782029Z level=info msg="Path Data" path=/var/lib/grafana
grafana  | logger=settings t=2026-03-15T12:18:53.509783632Z level=info msg="Path Logs" path=/var/log/grafana
