prometheus  | time=2026-03-15T12:18:53.271Z level=INFO source=main.go:1611 msg="updated GOGC" old=100 new=75
prometheus  | time=2026-03-15T12:18:53.272Z level=INFO source=main.go:723 msg="Leaving GOMAXPROCS=24: CPU quota undefined" component=automaxprocs
prometheus  | time=2026-03-15T12:18:53.272Z level=INFO source=memlimit.go:198 msg="GOMEMLIMIT is updated" component=automemlimit package=github.com/KimMachineGun/automemlimit/memlimit GOMEMLIMIT=30180236083 previous=9223372036854775807
prometheus  | time=2026-03-15T12:18:53.272Z level=INFO source=main.go:771 msg="No time or size retention was set so using the default time retention" duration=15d
prometheus  | time=2026-03-15T12:18:53.272Z level=INFO source=main.go:822 msg="Starting Prometheus Server" mode=server version="(version=3.10.0, branch=HEAD, revision=54e010926b0a270cadb22be1113ad45fe9bcb90a)"
prometheus  | time=2026-03-15T12:18:53.272Z level=INFO source=main.go:827 msg="operational information" build_context="(go=go1.26.0, platform=linux/amd64, user=root@2ee2be8e6652, date=20260225-21:12:02, tags=netgo,builtinassets)" host_details="(Linux 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 24c8462c7deb localdomain)" fd_limits="(soft=1048576, hard=1048576)" vm_limits="(soft=unlimited, hard=unlimited)"
prometheus  | time=2026-03-15T12:18:53.331Z level=INFO source=web.go:696 msg="Start listening for connections" component=web address=0.0.0.0:9090
prometheus  | time=2026-03-15T12:18:53.333Z level=INFO source=main.go:1350 msg="Starting TSDB ..."
prometheus  | time=2026-03-15T12:18:53.334Z level=INFO source=tls_config.go:354 msg="Listening on" component=web address=[::]:9090
prometheus  | time=2026-03-15T12:18:53.334Z level=INFO source=tls_config.go:357 msg="TLS is disabled." component=web http2=false address=[::]:9090
prometheus  | time=2026-03-15T12:18:53.334Z level=INFO source=head.go:680 msg="Replaying on-disk memory mappable chunks if any" component=tsdb
prometheus  | time=2026-03-15T12:18:53.334Z level=INFO source=head.go:766 msg="On-disk memory mappable chunks replay completed" component=tsdb duration=638ns
prometheus  | time=2026-03-15T12:18:53.334Z level=INFO source=head.go:774 msg="Replaying WAL, this may take a while" component=tsdb
prometheus  | time=2026-03-15T12:18:53.334Z level=INFO source=head.go:847 msg="WAL segment loaded" component=tsdb segment=0 maxSegment=0 duration=226.876µs
prometheus  | time=2026-03-15T12:18:53.334Z level=INFO source=head.go:884 msg="WAL replay completed" component=tsdb checkpoint_replay_duration=9.061µs wal_replay_duration=243.427µs wbl_replay_duration=141ns chunk_snapshot_load_duration=0s mmap_chunk_replay_duration=638ns total_replay_duration=276.669µs
prometheus  | time=2026-03-15T12:18:53.335Z level=INFO source=main.go:1371 msg="filesystem information" fs_type=EXT4_SUPER_MAGIC
prometheus  | time=2026-03-15T12:18:53.335Z level=INFO source=main.go:1374 msg="TSDB started"
prometheus  | time=2026-03-15T12:18:53.335Z level=INFO source=main.go:1564 msg="Loading configuration file" filename=/etc/prometheus/prometheus.yml
prometheus  | time=2026-03-15T12:18:53.337Z level=INFO source=main.go:1604 msg="Completed loading of configuration file" db_storage=941ns remote_storage=1.035µs web_handler=229ns query_engine=675ns scrape=118.025µs scrape_sd=23.746µs notify=688ns notify_sd=310ns rules=865ns tracing=2.597µs filename=/etc/prometheus/prometheus.yml totalDuration=1.331693ms
prometheus  | time=2026-03-15T12:18:53.337Z level=INFO source=main.go:1335 msg="Server is ready to receive web requests."
prometheus  | time=2026-03-15T12:18:53.337Z level=INFO source=manager.go:202 msg="Starting rule manager..." component="rule manager"
